address,eth_balance
0xeddf8eb4984cc27407a568cae1c78a1ddb0c2c1b,150000000000000000000000
0x0c05ec4db907cfb91b2a1a29e7b86688b7568a6d,150000000000000000000000
0xd05e6bf1a00b5b4c9df909309f19e29af792422b,150000000000000000000000
0x0518f5bb058f6215a0ff5f4df54dae832d734e04,150000000000000000000000
0x091933ee1088cdf5daace8baec0997a4e93f0dd6,150000000000000000000000
0x77afe94859163abf0b90725d69e904ea91446c7b,150000000000000000000000
0x19d599012788b991ff542f31208bab21ea38403e,150000000000000000000000
0x9cf36e93a8e2b1eaaa779d9965f46c90b820048c,150000000000000000000000
0x4b4a011c420b91260a272afd91e54accdafdfc1d,150000000000000000000000
0xba18ded5e0d604a86428282964ae0bb249ceb9d0,150000000000000000000000
0x9a1ed80ebc9936cee2d3db944ee6bd8d407e7f9f,150000000000000000000000
0xfe01a216234f79cfc3bea7513e457c6a9e50250d,150000000000000000000000
0x367989c660881e1ca693730f7126fe0ffc0963fb,150000000000000000000000
0x0e86733eab26cfcc04bb1752a62ec88e910b4cf5,150000000000000000000000
0x0f00294c6e4c30d9ffc0557fec6c586e6f8c3935,150000000000000000000000
0xb8cda067fabedd1bb6c11c626862d7255a2414fe,150000000000000000000000
0x6262998ced04146fa42253a5c0af90ca02dfd2a3,149782212124778020333480
0x2fa9f9efc767650aace0422668444c3ff63e1f8d,148531695314039277849931
0xd57479b8287666b44978255f1677e412d454d4f0,147699424503407102942053
0xf274483d5bb6e2522afea3949728f870ba32bb9c,147311977644170000000000
0x85879ab205ecd05380a429585950ba91decde9c5,145499750739760000000911
0x4baf012726cb5ec7dda57bc2770798a38100c44d,145000098394974456674400
0xa0e239b0abf4582366adaff486ee268c848c4409,144282214372376734296000
0x840760aed6bbd878c46c5850d3af0a61afcd09c8,143912339924532075340679
0xefb2e870b14d7e555a31b392541acf002dae6ae9,141633997074291371591476
0xa910f92acdaf488fa6ef02174fb86208ad7722ba,140544711453965502589776
0x99978adbf37e8abb28559da67284a640f036c63c,139932285760971329543721
0x8b15eb5ea0a405da4d82f26d9197fad62ef7405a,136676468394625000000000
0xb5ab08d153218c1a6a5318b14eeb92df0fb168d6,135283676786007761564439
0x9a9d870472bee65080e82bf3591f7c91de31a7cc,133840091526707777777777
0x3d4530082c3eb60f58af03f79b1ed3f40e591cd1,132399890580000000000000
0x0a869d79a7052c7f1b55a8ebabbea3420f0d1e13,131283028661993658838602
0x8d95842b0bca501446683be598e12f1c616770c1,130000000000000000000000
0xa4a6a282a7fc7f939e01d62d884355d79f5046c1,129979992446706000000000
0x35aeed3aa9657abf8b847038bb591b51e1e4c69f,129793403096616202362817
0x3cceb0d443ca4b1320ae4fa60a053eac163ca512,129265113181804618017280
0xb93d8596ac840816bd366dc0561e8140afd0d1cb,128576120636595543333083
0x2eb08efb9e10d9f56e46938f28c13ecb33f67b15,126850003985920000000000
0x11577a8a5baf1e25b9a2d89f39670f447d75c3cd,126226077644929175037518
0x3379c32b640a78630babe23f079cdaed9d971ee0,124852346865599239638500
